GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
p8_gps,gps.Service,GpsServiceImpl,0,110,0,2,0,19,0,4,0,3
p8_gps,gps.Controller,GpsController,15,30,1,1,4,8,2,3,1,3
p8_gps,gps.Model,VisitedLocationMapper,0,21,0,0,0,8,0,4,0,4
p8_gps,gps.Model,LocationMapper,8,15,0,0,4,6,2,3,2,3
p8_gps,gps.Model,AttractionMapper,18,21,0,0,6,8,6,1,6,1
p8_gps,gps,GpsApplication,5,3,0,0,2,1,1,1,1,1
p8_gps,gps.Utils,ApiError,44,0,0,0,20,0,8,0,8,0
p8_gps,gps.Utils,EntityIllegalArgumentException,4,0,0,0,2,0,1,0,1,0
p8_gps,gps.Utils,RestExceptionHandler,44,3,0,0,9,1,4,1,4,1
p8_gps,gps.Utils,EntityNotFoundException,4,0,0,0,2,0,1,0,1,0
